model,MAE,RMSE,MAPE,MAE_1_step,MAE_7_step,MAE_14_step,Robustness
Gradient Boosting,50.03540619574206,76.42453230907421,0.8313843235802988,1.5855100608450812,33.632338840134125,50.03540619574206,0.0
Naive,58.80519480519481,82.06321172911635,1.3051004346142272,79.18181818181819,61.92207792207792,58.80519480519481,34.1
Random Forest,59.77678571428584,77.8415557742595,0.9925624866513337,46.600000000000364,54.31000000000014,59.77678571428584,0.0
"SARIMA(1,1,2)(1,0,0,14)",130.7203302380621,149.9799402146629,2.1625381379400643,42.80388925794887,99.23369523887868,130.7203302380621,0.0
Moving Average,166.18552875695732,185.94909497277015,4.130332122720759,173.70129870129875,184.12059369202228,166.18552875695732,
"ARIMA(1,1,2)",269.54681584959803,305.3486864241661,6.666690172964138,56.880312750538245,170.01439680001127,269.54681584959803,0.0
Holt Exponential Smoothing,320.2730676389133,357.54545548635446,5.320142207504487,61.769743206664316,187.65039843913095,320.2730676389133,20.02
