Date,Actual_Discharge,Forecast_Discharge
2025-05-18,9.0,9.571428571428571
2025-05-19,6.0,9.510204081632653
2025-05-21,18.0,9.29737609329446
2025-05-22,15.0,10.197001249479383
2025-05-27,11.0,10.653715713690724
2025-05-28,14.0,10.604246529932256
2025-05-29,11.0,10.547710319922578
2025-06-01,12.0,10.054526079911517
2025-06-02,16.0,10.123540009694795
2025-06-03,15.0,10.211159427989388
2025-06-04,16.0,10.341699904374378
2025-06-05,21.0,10.362371140787946
2025-06-08,13.0,10.320750487516122
2025-06-09,9.0,10.280251052885246
2025-06-10,12.0,10.242042586165628
2025-06-17,14.0,10.268830658487643
2025-06-19,18.0,10.289586465458049
2025-06-22,7.0,10.300790327953573
2025-06-23,17.0,10.2949461027506
2025-06-24,16.0,10.285313954459552
2025-06-25,24.0,10.280251592594327
2025-06-26,35.0,10.280251669695625
2025-06-29,20.0,10.285710110199911
2025-06-30,16.0,10.288121460444518
2025-07-01,22.0,10.287912174014014
2025-07-02,38.0,10.286072437736934
2025-07-06,8.0,10.28480477130641
2025-07-07,20.0,10.284732030855963
2025-07-08,20.0,10.285372093464769
2025-07-09,32.0,10.286103582574645
2025-07-10,39.0,10.286159792913892
2025-07-13,10.0,10.285879554695233
2025-07-14,26.0,10.285589180506836
2025-07-15,17.0,10.28552014375968
2025-07-16,11.0,10.285622339824432
2025-07-17,17.0,10.285749526819927
2025-07-21,16.0,10.285803445870664
2025-07-22,16.0,10.285760569198668
2025-07-23,14.0,10.285703537239348
2025-07-24,29.0,10.285678391888506
2025-07-27,4.0,10.285691136371602
2025-07-28,14.0,10.285715563887592
2025-07-29,12.0,10.285728881610899
2025-07-30,16.0,10.285725932295327
2025-07-31,15.0,10.28571485892742
2025-08-03,5.0,10.285708328888672
2025-08-04,14.0,10.285709013410003
2025-08-05,14.0,10.285713387913075
2025-08-06,13.0,10.285716566704712
2025-08-07,17.0,10.285716709964301
2025-08-10,12.0,10.285714971157645
2025-08-11,16.0,10.285713405280832
2025-08-12,9.0,10.285713197617033
2025-08-13,17.0,10.285713893149657
2025-08-14,11.0,10.285714590255322
2025-08-17,3.0,10.2857147620185
2025-08-18,14.0,10.285714504206185
2025-08-19,11.0,10.285714189097883
2025-08-20,10.0,10.28571407737506
2025-08-21,21.0,10.285714173388518
2025-08-24,5.0,10.285714312784446
2025-08-25,11.0,10.285714372732274
2025-08-26,15.0,10.285714341657552
2025-08-27,19.0,10.285714281605989
2025-08-28,17.0,10.285714249805961
2025-09-01,5.0,10.285714258478544
2025-09-02,9.0,10.28571428435047
2025-09-03,10.0,10.285714300202176
2025-09-04,14.0,10.28571429840471
2025-09-07,7.0,10.285714287786487
2025-09-08,6.0,10.28571428009062
2025-09-09,14.0,10.285714279874139
2025-09-10,18.0,10.285714284169591
2025-09-11,6.0,10.285714287839742
2025-09-14,5.0,10.28571428833821
2025-09-15,10.0,10.285714286643357
2025-09-16,12.0,10.285714284963163
2025-09-17,13.0,10.285714284559832
2025-09-18,14.0,10.28571428519829
2025-09-21,5.0,10.285714285958884
2025-09-22,10.0,10.285714286214496
2025-09-23,15.0,10.28571428598232
2025-09-24,17.0,10.285714285645764
2025-09-25,18.0,10.28571428550325
2025-09-28,9.0,10.285714285580406
2025-09-29,13.0,10.285714285726202
2025-09-30,7.0,10.285714285801618
2025-10-01,14.0,10.28571428577915
2025-10-02,16.0,10.285714285716958
2025-10-05,16.0,10.285714285679049
2025-10-06,10.0,10.285714285683806
2025-10-07,10.0,10.285714285709599
2025-10-08,17.0,10.285714285728053
2025-10-09,12.0,10.285714285728318
2025-10-13,6.0,10.285714285717846
2025-10-14,8.0,10.28571428570909
2025-10-15,15.0,10.285714285707966
2025-10-16,9.0,10.285714285712098
2025-10-19,7.0,10.28571428571614
2025-10-20,7.0,10.285714285717074
2025-10-21,9.0,10.285714285715503
2025-10-22,12.0,10.285714285713672
2025-10-23,18.0,10.285714285713075
2025-10-26,10.0,10.285714285713647
2025-10-27,11.0,10.285714285714459
2025-10-28,6.0,10.285714285714795
2025-10-29,17.0,10.285714285714603
2025-10-30,12.0,10.28571428571425
2025-11-02,7.0,10.28571428571407
2025-11-03,12.0,10.285714285714127
2025-11-04,8.0,10.28571428571428
2025-11-05,7.0,10.285714285714368
2025-11-06,19.0,10.285714285714354
2025-11-09,4.0,10.285714285714294
2025-11-11,14.0,10.28571428571425
2025-11-12,7.0,10.28571428571425
2025-11-13,5.0,10.285714285714274
2025-11-16,5.0,10.285714285714295
2025-11-17,8.0,10.285714285714297
2025-11-18,12.0,10.285714285714286
2025-11-19,10.0,10.285714285714278
2025-11-20,9.0,10.285714285714276
2025-11-23,1.0,10.28571428571428
2025-11-24,13.0,10.285714285714283
2025-11-25,11.0,10.285714285714283
2025-11-27,7.0,10.285714285714283
2025-11-30,0.0,10.285714285714281
2025-12-01,9.0,10.285714285714281
2025-12-02,8.0,10.285714285714281
2025-12-03,7.0,10.285714285714281
2025-12-04,13.0,10.28571428571428
2025-12-07,12.0,10.28571428571428
2025-12-08,4.0,10.28571428571428
2025-12-09,8.0,10.28571428571428
2025-12-10,9.0,10.28571428571428
2025-12-11,10.0,10.28571428571428
2025-12-14,8.0,10.28571428571428
2025-12-15,7.0,10.28571428571428
2025-12-16,9.0,10.28571428571428
2025-12-17,10.0,10.28571428571428
2025-12-18,16.0,10.28571428571428
2025-12-21,14.0,10.28571428571428
